,0,1,2,3,4,5,6,7,8,9,10
0,category,flickers,harmonics,interruptions,interruptions_harmonics,osc_transients,sags,sags_harmonics,spikes,swells,swells_harmonics
1,flickers,0,0,0,0,0,0,0,0,300,0
2,harmonics,0,300,0,0,0,0,0,0,0,0
3,interruptions,0,0,300,0,0,0,0,0,0,0
4,interruptions_harmonics,0,0,0,281,0,0,19,0,0,0
5,osc_transients,3,0,0,0,234,0,0,7,45,11
6,sags,0,0,54,0,23,109,15,39,60,0
7,sags_harmonics,0,0,0,17,0,0,283,0,0,0
8,spikes,0,0,0,0,0,0,0,127,173,0
9,swells,0,0,0,0,0,0,0,0,290,10
10,swells_harmonics,0,0,0,0,0,0,0,0,0,300
11,,,,,,,,,,,
12,Classification accuracy,0.74133,,,,,,,,,
13,,,,,,,,,,,
14,Macro-F1 score,0.71476,,,,,,,,,
