,0,1,2,3,4,5,6,7,8,9,10
0,category,flickers,harmonics,interruptions,interruptions_harmonics,osc_transients,sags,sags_harmonics,spikes,swells,swells_harmonics
1,flickers,0,0,0,0,0,0,0,0,0,300
2,harmonics,0,0,0,10,0,0,0,0,16,274
3,interruptions,0,0,0,278,0,0,5,0,1,16
4,interruptions_harmonics,0,0,0,262,0,0,9,0,0,29
5,osc_transients,0,0,0,0,118,0,0,0,7,175
6,sags,0,0,0,22,22,0,85,9,109,53
7,sags_harmonics,0,0,0,31,9,0,199,0,7,54
8,spikes,0,0,0,0,0,0,0,0,3,297
9,swells,0,0,0,0,0,0,0,0,0,300
10,swells_harmonics,0,0,0,0,0,0,0,0,0,300
11,,,,,,,,,,,
12,Classification accuracy,0.29300,,,,,,,,,
13,,,,,,,,,,,
14,Macro-F1 score,0.20574,,,,,,,,,
