,0,1,2,3,4,5,6,7,8,9,10
0,category,flickers,harmonics,interruptions,interruptions_harmonics,osc_transients,sags,sags_harmonics,spikes,swells,swells_harmonics
1,flickers,0,0,0,0,0,0,0,0,0,300
2,harmonics,0,0,0,11,0,0,0,289,0,0
3,interruptions,0,0,0,297,0,0,2,0,0,1
4,interruptions_harmonics,0,0,61,184,0,0,5,50,0,0
5,osc_transients,0,0,0,7,146,0,0,0,0,147
6,sags,0,0,0,24,17,0,49,1,0,209
7,sags_harmonics,0,2,14,9,4,0,52,219,0,0
8,spikes,0,0,0,0,0,0,0,1,0,299
9,swells,0,0,0,0,23,0,0,0,0,277
10,swells_harmonics,0,1,0,17,121,0,0,105,3,53
11,,,,,,,,,,,
12,Classification accuracy,0.14533,,,,,,,,,
13,,,,,,,,,,,
14,Macro-F1 score,0.12352,,,,,,,,,
