,0,1,2,3,4,5,6,7,8,9,10
0,category,flickers,harmonics,interruptions,interruptions_harmonics,osc_transients,sags,sags_harmonics,spikes,swells,swells_harmonics
1,flickers,0,0,0,60,0,0,0,0,0,240
2,harmonics,0,254,0,0,0,0,46,0,0,0
3,interruptions,0,0,0,278,0,0,21,0,0,1
4,interruptions_harmonics,0,0,0,257,0,0,43,0,0,0
5,osc_transients,0,0,0,0,154,0,0,0,4,142
6,sags,0,0,0,45,69,0,133,2,41,10
7,sags_harmonics,0,2,0,18,1,0,276,0,0,3
8,spikes,0,0,0,0,0,0,0,0,5,295
9,swells,0,0,0,0,0,0,0,0,2,298
10,swells_harmonics,0,0,0,0,0,0,0,2,0,298
11,,,,,,,,,,,
12,Classification accuracy,0.41367,,,,,,,,,
13,,,,,,,,,,,
14,Macro-F1 score,0.30989,,,,,,,,,
