,0,1,2,3,4,5,6,7,8,9,10
0,category,flickers,harmonics,interruptions,interruptions_harmonics,osc_transients,sags,sags_harmonics,spikes,swells,swells_harmonics
1,flickers,0,0,0,0,0,0,0,0,300,0
2,harmonics,0,268,0,0,0,0,18,0,0,14
3,interruptions,0,0,251,10,0,0,0,0,39,0
4,interruptions_harmonics,0,0,0,279,0,0,21,0,0,0
5,osc_transients,0,0,0,0,180,0,0,0,86,34
6,sags,0,0,46,0,75,14,27,0,138,0
7,sags_harmonics,0,0,0,27,0,0,272,0,0,1
8,spikes,0,0,0,0,0,0,0,15,274,11
9,swells,0,0,0,0,0,0,0,0,281,19
10,swells_harmonics,0,0,0,0,0,0,0,0,0,300
11,,,,,,,,,,,
12,Classification accuracy,0.62000,,,,,,,,,
13,,,,,,,,,,,
14,Macro-F1 score,0.56561,,,,,,,,,
