,0,1,2,3,4,5,6,7,8,9,10
0,category,flickers,harmonics,interruptions,interruptions_harmonics,osc_transients,sags,sags_harmonics,spikes,swells,swells_harmonics
1,flickers,0,0,0,0,0,53,247,0,0,0
2,harmonics,0,0,0,0,0,0,300,0,0,0
3,interruptions,0,0,0,188,0,4,108,0,0,0
4,interruptions_harmonics,0,0,0,78,0,3,219,0,0,0
5,osc_transients,0,0,0,2,143,3,152,0,0,0
6,sags,0,0,0,7,0,49,244,0,0,0
7,sags_harmonics,0,0,0,0,0,3,297,0,0,0
8,spikes,0,0,0,1,0,1,296,0,0,2
9,swells,0,0,0,0,70,35,170,0,5,20
10,swells_harmonics,0,0,0,10,126,0,101,0,0,63
11,,,,,,,,,,,
12,Classification accuracy,0.21167,,,,,,,,,
13,,,,,,,,,,,
14,Macro-F1 score,0.15352,,,,,,,,,
