,0,1,2,3,4,5,6,7,8,9,10
0,category,flickers,harmonics,interruptions,interruptions_harmonics,osc_transients,sags,sags_harmonics,spikes,swells,swells_harmonics
1,flickers,0,0,0,0,265,0,0,0,0,35
2,harmonics,0,0,0,176,53,0,0,71,0,0
3,interruptions,0,0,45,241,12,0,2,0,0,0
4,interruptions_harmonics,0,0,0,285,15,0,0,0,0,0
5,osc_transients,0,0,0,0,236,0,0,1,0,63
6,sags,0,0,2,28,160,0,6,26,0,78
7,sags_harmonics,0,0,0,76,147,0,26,43,0,8
8,spikes,0,0,0,0,145,0,0,74,0,81
9,swells,0,0,0,0,220,0,0,23,0,57
10,swells_harmonics,0,0,0,15,203,0,0,7,0,75
11,,,,,,,,,,,
12,Classification accuracy,0.24700,,,,,,,,,
13,,,,,,,,,,,
14,Macro-F1 score,0.16791,,,,,,,,,
