,0,1,2,3,4,5,6,7,8,9,10
0,category,flickers,harmonics,interruptions,interruptions_harmonics,osc_transients,sags,sags_harmonics,spikes,swells,swells_harmonics
1,flickers,0,0,0,0,0,0,0,0,300,0
2,harmonics,0,268,0,18,0,0,4,0,0,10
3,interruptions,0,0,181,118,0,0,0,0,1,0
4,interruptions_harmonics,0,1,0,267,0,0,32,0,0,0
5,osc_transients,0,0,0,3,204,0,0,0,70,23
6,sags,24,0,47,9,40,13,62,0,105,0
7,sags_harmonics,0,1,0,18,1,0,278,0,0,2
8,spikes,0,0,57,22,4,0,16,3,169,29
9,swells,0,0,1,5,8,0,0,0,177,109
10,swells_harmonics,0,0,0,0,0,0,0,0,0,300
11,,,,,,,,,,,
12,Classification accuracy,0.56367,,,,,,,,,
13,,,,,,,,,,,
14,Macro-F1 score,0.49913,,,,,,,,,
