,0,1,2,3,4,5,6,7,8,9,10
0,category,flickers,harmonics,interruptions,interruptions_harmonics,osc_transients,sags,sags_harmonics,spikes,swells,swells_harmonics
1,flickers,0,0,0,1,211,60,28,0,0,0
2,harmonics,0,0,0,0,6,0,294,0,0,0
3,interruptions,0,0,10,266,0,9,15,0,0,0
4,interruptions_harmonics,0,0,0,226,3,0,71,0,0,0
5,osc_transients,0,0,0,2,281,1,16,0,0,0
6,sags,0,0,1,35,0,218,46,0,0,0
7,sags_harmonics,0,0,0,5,0,0,295,0,0,0
8,spikes,0,3,0,168,72,7,50,0,0,0
9,swells,0,0,0,0,298,2,0,0,0,0
10,swells_harmonics,0,0,0,0,166,0,84,0,0,50
11,,,,,,,,,,,
12,Classification accuracy,0.36000,,,,,,,,,
13,,,,,,,,,,,
14,Macro-F1 score,0.24434,,,,,,,,,
