,0,1,2,3,4,5,6,7,8,9,10
0,category,flickers,harmonics,interruptions,interruptions_harmonics,osc_transients,sags,sags_harmonics,spikes,swells,swells_harmonics
1,flickers,0,0,0,0,0,0,0,0,0,300
2,harmonics,0,46,0,236,0,0,0,18,0,0
3,interruptions,0,0,0,290,0,0,10,0,0,0
4,interruptions_harmonics,0,0,0,299,0,0,0,1,0,0
5,osc_transients,0,0,0,29,156,0,0,0,0,115
6,sags,0,0,0,104,54,0,39,11,0,92
7,sags_harmonics,0,2,0,155,3,0,73,64,0,3
8,spikes,0,0,0,23,14,0,0,6,0,257
9,swells,0,0,0,6,1,0,0,7,0,286
10,swells_harmonics,0,0,0,100,83,0,0,15,0,102
11,,,,,,,,,,,
12,Classification accuracy,0.22733,,,,,,,,,
13,,,,,,,,,,,
14,Macro-F1 score,0.16774,,,,,,,,,
