,0,1,2,3,4,5,6,7,8,9,10
0,category,flickers,harmonics,interruptions,interruptions_harmonics,osc_transients,sags,sags_harmonics,spikes,swells,swells_harmonics
1,flickers,0,0,0,0,0,0,0,0,0,300
2,harmonics,0,182,0,0,0,0,0,118,0,0
3,interruptions,0,0,0,300,0,0,0,0,0,0
4,interruptions_harmonics,0,0,6,280,1,0,1,12,0,0
5,osc_transients,0,0,0,2,155,0,0,0,0,143
6,sags,0,0,0,109,5,0,92,0,0,94
7,sags_harmonics,0,1,5,34,7,0,79,174,0,0
8,spikes,0,0,0,0,0,0,0,0,0,300
9,swells,0,0,0,0,15,0,0,0,0,285
10,swells_harmonics,0,2,0,0,53,0,0,34,0,211
11,,,,,,,,,,,
12,Classification accuracy,0.30233,,,,,,,,,
13,,,,,,,,,,,
14,Macro-F1 score,0.24684,,,,,,,,,
