,0,1,2,3,4,5,6,7,8,9,10
0,category,flickers,harmonics,interruptions,interruptions_harmonics,osc_transients,sags,sags_harmonics,spikes,swells,swells_harmonics
1,flickers,0,0,0,0,0,0,0,0,0,300
2,harmonics,0,265,0,0,0,0,19,6,0,10
3,interruptions,0,0,0,300,0,0,0,0,0,0
4,interruptions_harmonics,0,0,0,291,0,0,3,0,0,6
5,osc_transients,0,0,0,1,116,0,0,0,1,182
6,sags,0,0,0,127,13,0,86,14,33,27
7,sags_harmonics,0,0,0,32,0,0,262,3,0,3
8,spikes,0,0,0,1,0,0,0,0,12,287
9,swells,0,0,0,0,0,0,0,0,0,300
10,swells_harmonics,0,0,0,0,0,0,0,0,0,300
11,,,,,,,,,,,
12,Classification accuracy,0.41133,,,,,,,,,
13,,,,,,,,,,,
14,Macro-F1 score,0.31640,,,,,,,,,
