,0,1,2,3,4,5,6,7,8,9,10
0,category,flickers,harmonics,interruptions,interruptions_harmonics,osc_transients,sags,sags_harmonics,spikes,swells,swells_harmonics
1,flickers,0,0,0,0,0,0,0,0,0,300
2,harmonics,0,209,0,40,0,0,0,41,0,10
3,interruptions,0,0,0,296,0,0,2,0,0,2
4,interruptions_harmonics,0,0,0,290,0,0,9,1,0,0
5,osc_transients,0,0,0,0,142,0,0,0,0,158
6,sags,0,0,0,34,58,0,116,3,0,89
7,sags_harmonics,0,5,0,45,1,0,234,9,0,6
8,spikes,0,0,0,0,0,0,0,0,0,300
9,swells,0,0,0,0,0,0,0,0,0,300
10,swells_harmonics,0,0,0,0,1,0,0,0,0,299
11,,,,,,,,,,,
12,Classification accuracy,0.39133,,,,,,,,,
13,,,,,,,,,,,
14,Macro-F1 score,0.30031,,,,,,,,,
