,0,1,2,3,4,5,6,7,8,9,10
0,category,flickers,harmonics,interruptions,interruptions_harmonics,osc_transients,sags,sags_harmonics,spikes,swells,swells_harmonics
1,flickers,0,0,0,9,0,0,0,0,291,0
2,harmonics,0,278,0,0,0,0,0,5,0,17
3,interruptions,0,0,0,300,0,0,0,0,0,0
4,interruptions_harmonics,0,0,0,278,0,0,22,0,0,0
5,osc_transients,0,0,0,2,107,0,0,0,39,152
6,sags,0,0,0,43,5,0,146,0,106,0
7,sags_harmonics,0,0,0,27,0,0,261,0,0,12
8,spikes,0,0,0,1,0,0,0,0,2,297
9,swells,0,0,0,1,0,0,0,0,0,299
10,swells_harmonics,0,0,0,0,0,0,0,1,0,299
11,,,,,,,,,,,
12,Classification accuracy,0.40767,,,,,,,,,
13,,,,,,,,,,,
14,Macro-F1 score,0.32106,,,,,,,,,
