,0,1,2,3,4,5,6,7,8,9,10
0,category,flickers,harmonics,interruptions,interruptions_harmonics,osc_transients,sags,sags_harmonics,spikes,swells,swells_harmonics
1,flickers,0,0,0,0,0,0,0,0,0,300
2,harmonics,0,60,0,16,22,0,15,12,0,175
3,interruptions,0,0,0,128,0,0,47,0,0,125
4,interruptions_harmonics,0,0,22,155,20,2,23,0,0,78
5,osc_transients,0,0,0,0,111,0,5,0,0,184
6,sags,0,0,0,10,16,0,174,0,0,100
7,sags_harmonics,0,0,7,13,28,1,213,0,0,38
8,spikes,0,0,0,0,0,0,0,0,0,300
9,swells,0,0,0,0,0,0,0,0,0,300
10,swells_harmonics,0,0,0,0,13,0,0,0,0,287
11,,,,,,,,,,,
12,Classification accuracy,0.27533,,,,,,,,,
13,,,,,,,,,,,
14,Macro-F1 score,0.20777,,,,,,,,,
