,0,1,2,3,4,5,6,7,8,9,10
0,category,flickers,harmonics,interruptions,interruptions_harmonics,osc_transients,sags,sags_harmonics,spikes,swells,swells_harmonics
1,flickers,232,0,0,0,68,0,0,0,0,0
2,harmonics,0,300,0,0,0,0,0,0,0,0
3,interruptions,0,0,287,0,0,6,0,7,0,0
4,interruptions_harmonics,0,8,0,281,0,0,6,0,0,5
5,osc_transients,0,0,2,0,285,0,0,12,1,0
6,sags,0,0,18,0,0,281,0,1,0,0
7,sags_harmonics,0,5,0,29,0,0,266,0,0,0
8,spikes,0,0,0,0,3,0,0,296,1,0
9,swells,0,0,0,0,0,0,0,14,286,0
10,swells_harmonics,0,1,0,0,0,0,0,0,0,299
11,,,,,,,,,,,
12,Classification accuracy,0.93767,,,,,,,,,
13,,,,,,,,,,,
14,Macro-F1 score,0.93752,,,,,,,,,
