,0,1,2,3,4,5,6,7,8,9,10
0,category,flickers,harmonics,interruptions,interruptions_harmonics,osc_transients,sags,sags_harmonics,spikes,swells,swells_harmonics
1,flickers,0,0,0,0,0,0,0,0,0,300
2,harmonics,0,28,0,19,10,0,54,60,0,129
3,interruptions,0,0,0,290,0,0,7,0,0,3
4,interruptions_harmonics,0,0,0,230,1,0,50,3,0,16
5,osc_transients,0,0,0,2,120,0,13,0,0,165
6,sags,0,0,0,28,49,0,97,0,0,126
7,sags_harmonics,0,14,0,8,12,0,232,18,0,16
8,spikes,0,0,0,0,21,0,2,0,0,277
9,swells,0,0,0,0,4,0,0,0,0,296
10,swells_harmonics,0,0,0,0,29,0,2,4,0,265
11,,,,,,,,,,,
12,Classification accuracy,0.29167,,,,,,,,,
13,,,,,,,,,,,
14,Macro-F1 score,0.20207,,,,,,,,,
