,0,1,2,3,4,5,6,7,8,9,10
0,category,flickers,harmonics,interruptions,interruptions_harmonics,osc_transients,sags,sags_harmonics,spikes,swells,swells_harmonics
1,flickers,0,0,0,0,0,0,300,0,0,0
2,harmonics,0,0,0,0,0,52,248,0,0,0
3,interruptions,0,0,0,0,0,300,0,0,0,0
4,interruptions_harmonics,0,0,2,180,0,66,52,0,0,0
5,osc_transients,0,0,0,0,157,66,77,0,0,0
6,sags,0,0,0,0,0,88,212,0,0,0
7,sags_harmonics,0,0,0,9,0,37,254,0,0,0
8,spikes,0,0,0,0,0,289,11,0,0,0
9,swells,0,0,0,0,87,212,1,0,0,0
10,swells_harmonics,0,0,0,0,44,57,81,0,0,118
11,,,,,,,,,,,
12,Classification accuracy,0.26567,,,,,,,,,
13,,,,,,,,,,,
14,Macro-F1 score,0.22855,,,,,,,,,
