,0,1,2,3,4,5,6,7,8,9,10
0,category,flickers,harmonics,interruptions,interruptions_harmonics,osc_transients,sags,sags_harmonics,spikes,swells,swells_harmonics
1,flickers,46,0,0,0,0,0,0,0,254,0
2,harmonics,0,300,0,0,0,0,0,0,0,0
3,interruptions,0,0,273,0,0,6,13,0,8,0
4,interruptions_harmonics,0,1,0,266,0,0,33,0,0,0
5,osc_transients,9,0,0,0,237,0,1,0,36,17
6,sags,57,0,18,0,4,165,43,1,12,0
7,sags_harmonics,0,1,0,21,1,0,277,0,0,0
8,spikes,0,0,0,0,9,0,3,79,207,2
9,swells,0,0,0,0,36,0,0,0,261,3
10,swells_harmonics,0,0,0,0,0,0,0,0,0,300
11,,,,,,,,,,,
12,Classification accuracy,0.73467,,,,,,,,,
13,,,,,,,,,,,
14,Macro-F1 score,0.72498,,,,,,,,,
