event_id,start_time,asset_name,timestamps (in ms),Vab,Vbc,Vca,Ia,Ib,Ic,asset_name,datetime
event_2879,7/18/2006 20:07:40.9860,Site0014,0,174.4660034,-10064.48145,10224.8125,206.9900055,-3276.984375,3189.497803,Site0014,7/18/2006 20:07:40.9860
,,,0.000130225,715.3106079,-10397.62598,9935.925781,366.6679993,-3330.510498,3077.482178,Site0014,7/18/2006 20:07:40.9860
,,,0.000260451,1256.155151,-10678.16895,9620.777344,538.1740112,-3389.983887,2953.675537,Site0014,7/18/2006 20:07:40.9860
,,,0.000390676,1796.999756,-10906.11035,9288.121094,703.7659912,-3437.5625,2823.973145,Site0014,7/18/2006 20:07:40.9860
,,,0.000520901,2355.291016,-11090.2168,8955.464844,875.2720337,-3479.193848,2682.479736,Site0014,7/18/2006 20:07:40.9860
,,,0.000651126,2939.752197,-11169.11914,8605.299805,1040.864014,-3508.930664,2540.986328,Site0014,7/18/2006 20:07:40.9860
,,,0.000781352,3524.213135,-11186.65332,8246.380859,1206.456055,-3538.667236,2381.806152,Site0014,7/18/2006 20:07:40.9860
,,,0.000911577,4082.504395,-11212.9541,7852.445313,1366.134033,-3568.404053,2222.625977,Site0014,7/18/2006 20:07:40.9860
,,,0.001041802,4605.902344,-11230.48828,7397.231445,1525.812012,-3592.193359,2063.446045,Site0014,7/18/2006 20:07:40.9860
,,,0.001172028,5111.854004,-11256.78906,6898.246582,1685.48999,-3615.982666,1886.579102,Site0014,7/18/2006 20:07:40.9860
,,,0.001302253,5600.358398,-11291.85742,6337.98291,1839.254028,-3627.877441,1721.503418,Site0014,7/18/2006 20:07:40.9860
,,,0.001432478,6053.970215,-11318.1582,5768.964844,1993.018066,-3633.824707,1556.427734,Site0014,7/18/2006 20:07:40.9860
,,,0.001562704,6507.581543,-11344.45898,5182.438965,2134.954102,-3633.824707,1397.247681,Site0014,7/18/2006 20:07:40.9860
,,,0.001692929,6961.193359,-11370.75977,4604.666992,2276.889893,-3633.824707,1232.171997,Site0014,7/18/2006 20:07:40.9860
,,,0.001823154,7388.635254,-11379.52637,4044.40332,2406.998047,-3615.982666,1072.991821,Site0014,7/18/2006 20:07:40.9860
,,,0.001953379,7807.353516,-11370.75977,3457.877441,2537.105957,-3586.246094,913.8117676,Site0014,7/18/2006 20:07:40.9860
,,,0.002083605,8199.902344,-11344.45898,2888.859619,2655.385986,-3544.614746,748.736084,Site0014,7/18/2006 20:07:40.9860
,,,0.00221383,8583.727539,-11081.44922,2311.087646,2773.666016,-3497.035889,583.6604004,Site0014,7/18/2006 20:07:40.9860
,,,0.002344055,8941.382813,-10932.41113,1733.315674,2880.11792,-3425.667969,418.5847473,Site0014,7/18/2006 20:07:40.9860
,,,0.002474281,9299.038086,-10765.83887,1164.297974,2986.570068,-3360.24707,241.7179565,Site0014,7/18/2006 20:07:40.9860
,,,0.002604506,9647.969727,-10564.19824,604.0343018,3063.451904,-3265.0896,70.74671936,Site0014,7/18/2006 20:07:40.9860
,,,0.002734731,9988.178711,-10318.72363,52.52471924,3146.248047,-3163.984863,-106.120079,Site0014,7/18/2006 20:07:40.9860
,,,0.002864956,10310.94043,-10038.18066,-498.9848328,3217.216064,-3056.932861,-271.1957397,Site0014,7/18/2006 20:07:40.9860
,,,0.002995182,10590.08594,-9696.268555,-1059.248535,3276.355957,-2937.986084,-459.8536682,Site0014,7/18/2006 20:07:40.9860
,,,0.003125407,10834.33887,-9380.657227,-1610.758057,3323.667969,-2801.197266,-636.720459,Site0014,7/18/2006 20:07:40.9860
,,,0.003255632,11026.25098,-9047.512695,-2171.021729,3370.97998,-2664.408203,-807.6917114,Site0014,7/18/2006 20:07:40.9860
,,,0.003385858,11157.10059,-8714.368164,-2748.793701,3406.464111,-2521.672119,-984.5584717,Site0014,7/18/2006 20:07:40.9860
,,,0.003516083,11209.44043,-8354.921875,-3326.56543,3441.947998,-2367.04126,-1155.529663,Site0014,7/18/2006 20:07:40.9860
,,,0.003646308,11218.16406,-7977.942383,-3895.583252,3465.604004,-2206.463135,-1326.500977,Site0014,7/18/2006 20:07:40.9860
,,,0.003776534,11226.88672,-7539.59375,-4429.584473,3489.26001,-2045.88501,-1491.57666,Site0014,7/18/2006 20:07:40.9860
