event_id,start_time,asset_name,timestamps (in ms),Vab,Vbc,Vca,Ia,Ib,Ic,asset_name,datetime
event_3402,9/26/2005 14:17:46.5590,Site0005,0,24.74119949,-8627.207031,8632.905273,-143.4548645,-1223.914673,1379.897461,Site0005,9/26/2005 14:17:46.5590
,,,0.000130225,482.4533997,-8861.040039,8360.026367,-73.56659698,-1268.152588,1352.864746,Site0005,9/26/2005 14:17:46.5590
,,,0.000260451,1002.018555,-9107.179688,8074.743652,-8.582769394,-1306.246216,1323.374512,Site0005,9/26/2005 14:17:46.5590
,,,0.000390676,1509.213135,-9316.399414,7752.25,58.85327911,-1343.111206,1288.969238,Site0005,9/26/2005 14:17:46.5590
,,,0.000520901,1942.184204,-9537.924805,7466.967285,125.0632172,-1371.374268,1250.877686,Site0005,9/26/2005 14:17:46.5590
,,,0.000651126,2437.008057,-9722.530273,7119.666016,193.7253723,-1397.179688,1209.099854,Site0005,9/26/2005 14:17:46.5590
,,,0.000781352,2894.720459,-9894.828125,6821.97998,257.4830933,-1413.154419,1161.178223,Site0005,9/26/2005 14:17:46.5590
,,,0.000911577,3352.432617,-10005.59082,6474.679199,323.6930237,-1425.442749,1109.570313,Site0005,9/26/2005 14:17:46.5590
,,,0.001041802,3810.144775,-10104.04688,6114.974609,389.9029846,-1431.586914,1049.361084,Site0005,9/26/2005 14:17:46.5590
,,,0.001172028,4267.856934,-10165.58203,5730.462891,456.112915,-1430.358154,984.2367554,Site0005,9/26/2005 14:17:46.5590
,,,0.001302253,4713.19873,-10227.11719,5345.95166,524.7750854,-1429.129272,915.4262085,Site0005,9/26/2005 14:17:46.5590
,,,0.001432478,5121.428223,-10190.19629,4949.036133,588.5327759,-1420.527466,841.7006226,Site0005,9/26/2005 14:17:46.5590
,,,0.001562704,5542.028809,-10190.19629,4527.313965,649.8383179,-1410.696777,769.2037354,Site0005,9/26/2005 14:17:46.5590
,,,0.001692929,5937.887695,-10104.04688,4055.977051,712.369873,-1394.722046,689.3343506,Site0005,9/26/2005 14:17:46.5590
,,,0.001823154,6346.117676,-10017.89844,3572.236816,774.9014893,-1376.289551,609.4649658,Site0005,9/26/2005 14:17:46.5590
,,,0.001953379,6667.753418,-9907.134766,3088.496338,839.8853149,-1359.085938,524.680542,Site0005,9/26/2005 14:17:46.5590
,,,0.002083605,7026.500488,-9759.451172,2567.545166,901.1908569,-1341.882324,443.5823669,Site0005,9/26/2005 14:17:46.5590
,,,0.00221383,7335.765625,-9574.845703,2096.208252,963.7224731,-1323.449829,362.4841919,Site0005,9/26/2005 14:17:46.5590
,,,0.002344055,7632.660156,-9365.626953,1550.449951,1026.254028,-1303.788574,282.6148071,Site0005,9/26/2005 14:17:46.5590
,,,0.002474281,7917.183594,-9156.408203,1079.113159,1086.333496,-1282.89856,203.9741669,Site0005,9/26/2005 14:17:46.5590
,,,0.002604506,8189.336914,-8934.881836,558.1619873,1145.186768,-1263.237183,126.5622787,Site0005,9/26/2005 14:17:46.5590
,,,0.002734731,8449.119141,-8701.048828,74.42160034,1204.040039,-1244.80481,51.6079216,Site0005,9/26/2005 14:17:46.5590
,,,0.002864956,8684.161133,-8430.294922,-434.1259766,1260.44104,-1225.143433,-24.57519913,Site0005,9/26/2005 14:17:46.5590
,,,0.002995182,8919.202148,-8147.233887,-967.4807739,1311.937622,-1200.566895,-97.07203674,Site0005,9/26/2005 14:17:46.5590
,,,0.003125407,9154.244141,-7876.47998,-1476.02832,1358.529907,-1171.074951,-172.0263977,Site0005,9/26/2005 14:17:46.5590
,,,0.003255632,9376.915039,-7581.112305,-1984.575928,1396.539307,-1137.896606,-242.0657196,Site0005,9/26/2005 14:17:46.5590
,,,0.003385858,9562.473633,-7285.744141,-2443.509033,1432.096436,-1102.260498,-314.562561,Site0005,9/26/2005 14:17:46.5590
,,,0.003516083,9723.291016,-6990.375977,-2927.249512,1457.844727,-1059.251465,-382.1443481,Site0005,9/26/2005 14:17:46.5590
