,amplitude (in pu),timestamp (in ms),,parameters,values
0,0,0,,flicker_alpha,0.15
1,0.024556287,0.065104167,,flicker_beta,10
2,0.049127889,0.130208333,,,
3,0.073699976,0.1953125,,,
4,0.0982577,0.260416667,,,
5,0.1227862,0.325520833,,,
6,0.147270616,0.390625,,,
7,0.171696095,0.455729167,,,
8,0.196047798,0.520833333,,,
9,0.220310916,0.5859375,,,
10,0.244470672,0.651041667,,,
11,0.268512332,0.716145833,,,
12,0.292421216,0.78125,,,
13,0.316182706,0.846354167,,,
14,0.339782254,0.911458333,,,
15,0.363205391,0.9765625,,,
16,0.386437736,1.041666667,,,
17,0.409465008,1.106770833,,,
18,0.432273029,1.171875,,,
19,0.454847737,1.236979167,,,
20,0.477175194,1.302083333,,,
21,0.499241593,1.3671875,,,
22,0.521033269,1.432291667,,,
23,0.542536706,1.497395833,,,
24,0.563738544,1.5625,,,
25,0.584625591,1.627604167,,,
26,0.605184828,1.692708333,,,
27,0.625403418,1.7578125,,,
28,0.645268717,1.822916667,,,
29,0.664768275,1.888020833,,,
30,0.683889853,1.953125,,,
31,0.702621421,2.018229167,,,
32,0.720951175,2.083333333,,,
33,0.738867536,2.1484375,,,
34,0.756359164,2.213541667,,,
35,0.773414962,2.278645833,,,
36,0.790024082,2.34375,,,
37,0.806175936,2.408854167,,,
38,0.821860198,2.473958333,,,
39,0.837066814,2.5390625,,,
40,0.851786008,2.604166667,,,
41,0.866008286,2.669270833,,,
42,0.879724445,2.734375,,,
43,0.892925579,2.799479167,,,
44,0.905603081,2.864583333,,,
45,0.917748653,2.9296875,,,
46,0.929354309,2.994791667,,,
47,0.940412381,3.059895833,,,
48,0.950915526,3.125,,,
49,0.960856726,3.190104167,,,
50,0.970229297,3.255208333,,,
51,0.979026894,3.3203125,,,
52,0.98724351,3.385416667,,,
53,0.994873485,3.450520833,,,
54,1.001911511,3.515625,,,
55,1.008352629,3.580729167,,,
56,1.014192239,3.645833333,,,
57,1.019426101,3.7109375,,,
58,1.024050336,3.776041667,,,
59,1.028061434,3.841145833,,,
60,1.031456251,3.90625,,,
61,1.034232014,3.971354167,,,
62,1.036386323,4.036458333,,,
63,1.037917154,4.1015625,,,
64,1.038822857,4.166666667,,,
65,1.039102163,4.231770833,,,
66,1.03875418,4.296875,,,
67,1.037778398,4.361979167,,,
68,1.036174687,4.427083333,,,
69,1.033943298,4.4921875,,,
70,1.031084867,4.557291667,,,
71,1.027600409,4.622395833,,,
72,1.023491321,4.6875,,,
73,1.018759384,4.752604167,,,
74,1.013406757,4.817708333,,,
75,1.007435982,4.8828125,,,
76,1.000849977,4.947916667,,,
77,0.993652039,5.013020833,,,
78,0.985845842,5.078125,,,
79,0.977435434,5.143229167,,,
80,0.968425234,5.208333333,,,
81,0.958820032,5.2734375,,,
82,0.948624986,5.338541667,,,
83,0.937845618,5.403645833,,,
84,0.926487813,5.46875,,,
85,0.914557814,5.533854167,,,
86,0.902062219,5.598958333,,,
87,0.88900798,5.6640625,,,
88,0.875402394,5.729166667,,,
89,0.861253104,5.794270833,,,
90,0.846568092,5.859375,,,
91,0.831355676,5.924479167,,,
92,0.815624502,5.989583333,,,
93,0.799383546,6.0546875,,,
94,0.782642101,6.119791667,,,
95,0.765409775,6.184895833,,,
96,0.747696489,6.25,,,
97,0.729512464,6.315104167,,,
98,0.710868223,6.380208333,,,
99,0.691774578,6.4453125,,,
100,0.672242628,6.510416667,,,
101,0.652283752,6.575520833,,,
102,0.6319096,6.640625,,,
103,0.611132089,6.705729167,,,
104,0.589963394,6.770833333,,,
105,0.568415943,6.8359375,,,
106,0.546502408,6.901041667,,,
107,0.524235697,6.966145833,,,
108,0.501628948,7.03125,,,
