,amplitude (in pu),timestamp (in ms)
0,0,0
1,0.024541229,0.065104167
2,0.049067676,0.130208333
3,0.07356457,0.1953125
4,0.09801714,0.260416667
5,0.12241068,0.325520833
6,0.14673047,0.390625
7,0.17096189,0.455729167
8,0.19509032,0.520833333
9,0.21910124,0.5859375
10,0.24298018,0.651041667
11,0.26671275,0.716145833
12,0.29028466,0.78125
13,0.31368175,0.846354167
14,0.33688986,0.911458333
15,0.35989505,0.9765625
16,0.38268343,1.041666667
17,0.4052413,1.106770833
18,0.42755508,1.171875
19,0.44961134,1.236979167
20,0.47139674,1.302083333
21,0.4928982,1.3671875
22,0.51410276,1.432291667
23,0.53499764,1.497395833
24,0.55557024,1.5625
25,0.57580817,1.627604167
26,0.5956993,1.692708333
27,0.6152316,1.7578125
28,0.6343933,1.822916667
29,0.65317285,1.888020833
30,0.671559,1.953125
31,0.68954057,2.018229167
32,0.70710677,2.083333333
33,0.7242471,2.1484375
34,0.7409511,2.213541667
35,0.7572088,2.278645833
36,0.77301043,2.34375
37,0.7883464,2.408854167
38,0.8032075,2.473958333
39,0.8175848,2.5390625
40,0.8314696,2.604166667
41,0.8448536,2.669270833
42,0.8577286,2.734375
43,0.87008697,2.799479167
44,0.8819213,2.864583333
45,0.8932243,2.9296875
46,0.9039893,2.994791667
47,0.9142098,3.059895833
48,0.9238795,3.125
49,0.9329928,3.190104167
50,0.94154406,3.255208333
51,0.94952816,3.3203125
52,0.95694035,3.385416667
53,0.96377605,3.450520833
54,0.97003126,3.515625
55,0.9757021,3.580729167
56,0.98078525,3.645833333
57,0.98527765,3.7109375
58,0.9891765,3.776041667
59,0.99247956,3.841145833
60,0.9951847,3.90625
61,0.99729043,3.971354167
62,0.99879545,4.036458333
63,0.9996988,4.1015625
64,1,4.166666667
65,0.9996988,4.231770833
66,0.99879545,4.296875
67,0.99729043,4.361979167
68,0.9951847,4.427083333
69,0.99247956,4.4921875
70,0.9891765,4.557291667
71,0.98527765,4.622395833
72,0.9807853,4.6875
73,0.9757021,4.752604167
74,0.97003126,4.817708333
75,0.96377605,4.8828125
76,0.95694035,4.947916667
77,0.94952816,5.013020833
78,0.94154406,5.078125
79,0.9329928,5.143229167
80,0.9238795,5.208333333
81,0.9142098,5.2734375
82,0.9039893,5.338541667
83,0.8932243,5.403645833
84,0.8819213,5.46875
85,0.87008697,5.533854167
86,0.8577286,5.598958333
87,0.8448536,5.6640625
88,0.8314696,5.729166667
89,0.8175848,5.794270833
90,0.8032075,5.859375
91,0.7883464,5.924479167
92,0.77301043,5.989583333
93,0.7572088,6.0546875
94,0.7409511,6.119791667
95,0.7242471,6.184895833
96,0.70710677,6.25
97,0.68954057,6.315104167
98,0.671559,6.380208333
99,0.65317285,6.4453125
100,0.6343933,6.510416667
101,0.6152316,6.575520833
102,0.5956993,6.640625
103,0.57580817,6.705729167
104,0.55557024,6.770833333
105,0.53499764,6.8359375
106,0.51410276,6.901041667
107,0.4928982,6.966145833
108,0.47139674,7.03125
109,0.44961134,7.096354167
110,0.42755508,7.161458333
111,0.4052413,7.2265625
112,0.38268343,7.291666667
113,0.35989505,7.356770833
114,0.33688986,7.421875
115,0.31368175,7.486979167
116,0.29028466,7.552083333
117,0.26671275,7.6171875
118,0.24298018,7.682291667
119,0.21910124,7.747395833
120,0.19509032,7.8125
121,0.17096189,7.877604167
122,0.14673048,7.942708333
123,0.12241068,8.0078125
124,0.09801714,8.072916667
125,0.07356457,8.138020833
126,0.049067676,8.203125
127,0.024541229,8.268229167
128,7.31E-10,8.333333333
129,-0.024541227,8.3984375
130,-0.049067672,8.463541667
131,-0.07356456,8.528645833
132,-0.09801714,8.59375
133,-0.12241068,8.658854167
134,-0.14673047,8.723958333
135,-0.17096189,8.7890625
136,-0.19509032,8.854166667
137,-0.21910124,8.919270833
138,-0.24298018,8.984375
139,-0.26671275,9.049479167
140,-0.29028466,9.114583333
141,-0.31368175,9.1796875
142,-0.33688986,9.244791667
143,-0.35989505,9.309895833
144,-0.38268343,9.375
145,-0.4052413,9.440104167
146,-0.42755508,9.505208333
147,-0.44961134,9.5703125
148,-0.47139674,9.635416667
149,-0.4928982,9.700520833
150,-0.51410276,9.765625
151,-0.53499764,9.830729167
152,-0.55557024,9.895833333
153,-0.57580817,9.9609375
154,-0.5956993,10.02604167
155,-0.6152316,10.09114583
156,-0.6343933,10.15625
157,-0.65317285,10.22135417
158,-0.671559,10.28645833
159,-0.68954057,10.3515625
160,-0.70710677,10.41666667
161,-0.7242471,10.48177083
162,-0.7409511,10.546875
163,-0.7572088,10.61197917
164,-0.77301043,10.67708333
165,-0.7883464,10.7421875
166,-0.8032075,10.80729167
167,-0.8175848,10.87239583
168,-0.8314696,10.9375
169,-0.8448536,11.00260417
170,-0.8577286,11.06770833
171,-0.87008697,11.1328125
172,-0.8819213,11.19791667
173,-0.8932243,11.26302083
174,-0.9039893,11.328125
175,-0.9142098,11.39322917
176,-0.9238795,11.45833333
177,-0.9329928,11.5234375
178,-0.94154406,11.58854167
179,-0.94952816,11.65364583
180,-0.95694035,11.71875
181,-0.96377605,11.78385417
182,-0.97003126,11.84895833
183,-0.9757021,11.9140625
184,-0.98078525,11.97916667
185,-0.98527765,12.04427083
186,-0.9891765,12.109375
187,-0.99247956,12.17447917
188,-0.9951847,12.23958333
189,-0.99729043,12.3046875
190,-0.99879545,12.36979167
191,-0.9996988,12.43489583
192,-1,12.5
193,-0.9996988,12.56510417
194,-0.99879545,12.63020833
195,-0.99729043,12.6953125
196,-0.9951847,12.76041667
197,-0.99247956,12.82552083
198,-0.9891765,12.890625
199,-0.98527765,12.95572917
200,-0.9807853,13.02083333
201,-0.9757021,13.0859375
202,-0.97003126,13.15104167
203,-0.96377605,13.21614583
204,-0.95694035,13.28125
205,-0.94952816,13.34635417
206,-0.94154406,13.41145833
207,-0.9329928,13.4765625
208,-0.9238795,13.54166667
209,-0.9142098,13.60677083
210,-0.9039893,13.671875
211,-0.8932243,13.73697917
212,-0.8819213,13.80208333
213,-0.87008697,13.8671875
214,-0.8577286,13.93229167
215,-0.8448536,13.99739583
216,-0.8314696,14.0625
217,-0.8175848,14.12760417
218,-0.8032075,14.19270833
219,-0.7883464,14.2578125
220,-0.77301043,14.32291667
221,-0.7572088,14.38802083
222,-0.7409511,14.453125
223,-0.7242471,14.51822917
224,-0.70710677,14.58333333
225,-0.68954057,14.6484375
226,-0.671559,14.71354167
227,-0.65317285,14.77864583
228,-0.6343933,14.84375
229,-0.6152316,14.90885417
230,-0.5956993,14.97395833
231,-0.57580817,15.0390625
232,-0.55557024,15.10416667
233,-0.53499764,15.16927083
234,-0.51410276,15.234375
235,-0.4928982,15.29947917
236,-0.47139674,15.36458333
237,-0.44961134,15.4296875
238,-0.42755508,15.49479167
239,-0.4052413,15.55989583
240,-0.38268343,15.625
241,-0.35989505,15.69010417
242,-0.33688986,15.75520833
243,-0.31368175,15.8203125
244,-0.2902847,15.88541667
245,-0.26671275,15.95052083
246,-0.24298018,16.015625
247,-0.21910124,16.08072917
248,-0.19509032,16.14583333
249,-0.17096189,16.2109375
250,-0.14673048,16.27604167
251,-0.12241068,16.34114583
252,-0.09801714,16.40625
253,-0.07356457,16.47135417
254,-0.049067676,16.53645833
255,-0.02454123,16.6015625
256,0,16.66666667
257,0.024541229,16.73177083
