,amplitude (in pu),timestamp (in ms),,parameters,values
0,0,0,,a3,0.11
1,0.045799737,0.065104167,,a5,0.11
2,0.091338491,0.130208333,,,
3,0.136358571,0.1953125,,,
4,0.180608825,0.260416667,,,
5,0.22384779,0.325520833,,,
6,0.265846708,0.390625,,,
7,0.306392355,0.455729167,,,
8,0.345289655,0.520833333,,,
9,0.382364027,0.5859375,,,
10,0.417463446,0.651041667,,,
11,0.450460182,0.716145833,,,
12,0.481252191,0.78125,,,
13,0.509764146,0.846354167,,,
14,0.535948084,0.911458333,,,
15,0.559783677,0.9765625,,,
16,0.581278101,1.041666667,,,
17,0.600465533,1.106770833,,,
18,0.617406259,1.171875,,,
19,0.632185434,1.236979167,,,
20,0.644911485,1.302083333,,,
21,0.655714206,1.3671875,,,
22,0.664742564,1.432291667,,,
23,0.672162243,1.497395833,,,
24,0.678152979,1.5625,,,
25,0.682905712,1.627604167,,,
26,0.686619602,1.692708333,,,
27,0.689498962,1.7578125,,,
28,0.691750139,1.822916667,,,
29,0.693578396,1.888020833,,,
30,0.695184853,1.953125,,,
31,0.696763504,2.018229167,,,
32,0.698498389,2.083333333,,,
33,0.700560929,2.1484375,,,
34,0.703107485,2.213541667,,,
35,0.706277172,2.278645833,,,
36,0.710189948,2.34375,,,
37,0.71494502,2.408854167,,,
38,0.720619583,2.473958333,,,
39,0.727267903,2.5390625,,,
40,0.734920769,2.604166667,,,
41,0.743585304,2.669270833,,,
42,0.753245154,2.734375,,,
43,0.763861034,2.799479167,,,
44,0.775371627,2.864583333,,,
45,0.787694828,2.9296875,,,
46,0.80072929,2.994791667,,,
47,0.814356278,3.059895833,,,
48,0.828441772,3.125,,,
49,0.842838798,3.190104167,,,
50,0.857389955,3.255208333,,,
51,0.871930089,3.3203125,,,
52,0.886289068,3.385416667,,,
53,0.900294632,3.450520833,,,
54,0.913775252,3.515625,,,
55,0.92656297,3.580729167,,,
56,0.938496166,3.645833333,,,
57,0.949422213,3.7109375,,,
58,0.959199973,3.776041667,,,
59,0.967702107,3.841145833,,,
60,0.974817146,3.90625,,,
61,0.980451312,3.971354167,,,
62,0.984530038,4.036458333,,,
63,0.986999179,4.1015625,,,
64,0.987825896,4.166666667,,,
65,0.986999179,4.231770833,,,
66,0.984530038,4.296875,,,
67,0.980451312,4.361979167,,,
68,0.974817146,4.427083333,,,
69,0.967702107,4.4921875,,,
70,0.959199973,4.557291667,,,
71,0.949422213,4.622395833,,,
72,0.938496166,4.6875,,,
73,0.92656297,4.752604167,,,
74,0.913775252,4.817708333,,,
75,0.900294632,4.8828125,,,
76,0.886289068,4.947916667,,,
77,0.871930089,5.013020833,,,
78,0.857389955,5.078125,,,
79,0.842838798,5.143229167,,,
80,0.828441772,5.208333333,,,
81,0.814356278,5.2734375,,,
82,0.80072929,5.338541667,,,
83,0.787694828,5.403645833,,,
84,0.775371627,5.46875,,,
85,0.763861034,5.533854167,,,
86,0.753245154,5.598958333,,,
87,0.743585304,5.6640625,,,
88,0.734920769,5.729166667,,,
89,0.727267903,5.794270833,,,
90,0.720619583,5.859375,,,
91,0.71494502,5.924479167,,,
92,0.710189948,5.989583333,,,
93,0.706277172,6.0546875,,,
94,0.703107485,6.119791667,,,
95,0.700560929,6.184895833,,,
96,0.698498389,6.25,,,
97,0.696763504,6.315104167,,,
